date,value,cliente,dayofweek,month,lag_1,lag_3,lag_7,rolling_mean_7,rolling_std_7,feriado,promocion,is_anomaly
1959-01-08,40.84209004417463,C1,3,1,42.74172213925252,41.79190609171358,33.243561663863076,34.46475372498457,6.930279613728502,0,0,False
1959-01-09,36.09300980647991,C1,4,1,40.84209004417463,27.544665378629404,30.39411352124624,35.278881765732244,6.703408686112356,0,0,False
1959-01-10,25.645033283551516,C1,5,1,36.09300980647991,42.74172213925252,28.49448142616835,34.871817745358406,7.248415561022519,0,0,False
1959-01-11,36.09300980647991,C1,6,1,25.645033283551516,40.84209004417463,29.444297473707294,35.82163379289735,6.842945868477323,0,0,False
1959-01-12,31.343929568785185,C1,0,1,36.09300980647991,36.09300980647991,41.79190609171358,34.3290657181933,6.451961155941973,0,0,False
1959-01-13,52.23988261464198,C1,1,1,31.343929568785185,25.645033283551516,27.544665378629404,37.85695389476653,8.538287548571097,0,0,False
1959-01-14,44.641354234330414,C1,2,1,52.23988261464198,36.09300980647991,42.74172213925252,38.12832990834908,8.747054153184044,0,0,False
1959-01-15,42.74172213925252,C1,3,1,44.641354234330414,31.343929568785185,40.84209004417463,38.399705921931634,8.873829663384104,0,1,False
1959-01-16,35.14319375894097,C1,4,1,42.74172213925252,52.23988261464198,36.09300980647991,38.26401791514036,8.922109832889781,0,0,False
1959-01-17,47.49080237694725,C1,5,1,35.14319375894097,44.641354234330414,25.645033283551516,41.38484207133975,7.475986419818161,0,0,False
1959-01-18,40.84209004417463,C1,6,1,47.49080237694725,42.74172213925252,36.09300980647991,42.06328210529614,7.12286649439314,0,0,False
1959-01-19,38.94245794909674,C1,0,1,40.84209004417463,35.14319375894097,31.343929568785185,43.148786159626354,5.642076358780117,0,0,False
1959-01-20,49.39043447202514,C1,1,1,38.94245794909674,47.49080237694725,52.23988261464198,42.74172213925252,4.935388956545127,0,0,False
1959-01-21,32.29374561632413,C1,2,1,49.39043447202514,40.84209004417463,44.641354234330414,40.97777805096592,6.190308352781918,0,0,False
1959-01-22,50.34025051956409,C1,3,1,32.29374561632413,38.94245794909674,42.74172213925252,42.06328210529614,7.143944564338103,0,0,False
1959-01-23,37.04282585401886,C1,4,1,50.34025051956409,49.39043447202514,35.14319375894097,42.33465811887869,6.868011688186622,0,0,False
1959-01-24,30.39411352124624,C1,5,1,37.04282585401886,32.29374561632413,47.49080237694725,39.892273996635694,7.716342047545928,0,0,False
1959-01-25,35.14319375894097,C1,6,1,30.39411352124624,50.34025051956409,40.84209004417463,39.078145955888026,7.897927881002822,0,0,False
1959-01-26,40.84209004417463,C1,0,1,35.14319375894097,37.04282585401886,38.94245794909674,39.34952196947058,7.925077936602147,0,0,False
1959-01-27,37.04282585401886,C1,1,1,40.84209004417463,30.39411352124624,49.39043447202514,37.585577881183966,6.5772536526296905,0,0,False
1959-01-28,33.243561663863076,C1,2,1,37.04282585401886,35.14319375894097,32.29374561632413,37.72126588797524,6.458616094437217,0,0,False
1959-01-29,41.79190609171358,C1,3,1,33.243561663863076,40.84209004417463,50.34025051956409,36.50007382685374,4.024394350229052,0,0,False
1959-01-30,36.09300980647991,C1,4,1,41.79190609171358,37.04282585401886,37.04282585401886,36.364385820062466,4.019053413104369,0,1,False
1959-01-31,22.79558514093468,C1,5,1,36.09300980647991,33.243561663863076,30.39411352124624,35.278881765732244,6.286714950438879,0,0,False
1959-02-01,21.845769093395734,C1,6,2,22.79558514093468,41.79190609171358,35.14319375894097,33.37924967065435,8.086064136982644,0,0,False
1959-02-02,29.444297473707294,C1,0,2,21.845769093395734,36.09300980647991,40.84209004417463,31.75099358915902,7.455847108673725,0,0,False
1959-02-03,41.79190609171358,C1,1,2,29.444297473707294,22.79558514093468,37.04282585401886,32.42943362311541,8.196873445144918,0,0,False
1959-02-04,36.09300980647991,C1,2,2,41.79190609171358,21.845769093395734,33.243561663863076,32.83649764348924,8.313958982960877,0,0,False
1959-02-05,47.49080237694725,C1,3,2,36.09300980647991,29.444297473707294,41.79190609171358,33.65062568423691,9.527514185256084,0,0,False
1959-02-06,36.09300980647991,C1,4,2,47.49080237694725,41.79190609171358,36.09300980647991,33.65062568423691,9.527514185256084,0,0,False
1959-02-07,48.440618424486196,C1,5,2,36.09300980647991,36.09300980647991,22.79558514093468,37.31420186760141,9.588192445244108,0,0,False
1959-02-08,29.444297473707294,C1,6,2,48.440618424486196,47.49080237694725,21.845769093395734,38.399705921931634,7.810413513565921,0,0,False
1959-02-09,29.444297473707294,C1,0,2,29.444297473707294,36.09300980647991,29.444297473707294,38.399705921931634,7.810413513565921,0,0,False
1959-02-10,48.440618424486196,C1,1,2,29.444297473707294,48.440618424486196,41.79190609171358,39.34952196947058,8.650753375095038,0,0,False
1959-02-11,34.19337771140202,C1,2,2,48.440618424486196,29.444297473707294,36.09300980647991,39.078145955888026,8.798471849298421,0,0,False
1959-02-12,42.74172213925252,C1,3,2,34.19337771140202,29.444297473707294,47.49080237694725,38.399705921931634,8.204731130392432,0,0,False
1959-02-13,48.440618424486196,C1,4,2,42.74172213925252,48.440618424486196,36.09300980647991,40.16365001021825,8.922109832889781,0,0,False
1959-02-14,32.29374561632413,C1,5,2,48.440618424486196,34.19337771140202,48.440618424486196,37.85695389476653,8.502994800616387,1,0,False
1959-02-15,49.39043447202514,C1,6,2,32.29374561632413,42.74172213925252,29.444297473707294,40.70640203738336,8.555879329646467,0,1,False
1959-02-16,44.641354234330414,C1,0,2,49.39043447202514,48.440618424486196,29.444297473707294,42.8774101460438,7.010401114948523,0,0,False
1959-02-17,42.74172213925252,C1,1,2,44.641354234330414,32.29374561632413,48.440618424486196,42.06328210529614,6.573987074999523,0,0,False
1959-02-18,43.69153818679147,C1,2,2,42.74172213925252,49.39043447202514,34.19337771140202,43.42016217320891,5.584678361979379,0,0,False
1959-02-19,37.04282585401886,C1,3,2,43.69153818679147,44.641354234330414,42.74172213925252,42.606034132461254,6.0923763948866005,0,0,False
1959-02-20,45.59117028186936,C1,4,2,37.04282585401886,42.74172213925252,48.440618424486196,42.19897011208741,5.721466259838283,0,0,False
1959-02-21,35.14319375894097,C1,5,2,45.59117028186936,43.69153818679147,32.29374561632413,42.60603413246124,4.94842831601069,0,0,False
1959-02-22,33.243561663863076,C1,6,2,35.14319375894097,37.04282585401886,49.39043447202514,40.299338017009525,5.021678516968251,0,0,False
1959-02-23,49.39043447202514,C1,0,2,33.243561663863076,45.59117028186936,44.641354234330414,40.97777805096592,5.942453120441636,0,0,False
1959-02-24,39.89227399663569,C1,1,2,49.39043447202514,35.14319375894097,42.74172213925252,40.57071403059208,5.898918079055755,0,0,False
1959-02-25,42.74172213925252,C1,2,2,39.89227399663569,33.243561663863076,43.69153818679147,40.4350260238008,5.825636748718375,0,0,False
1959-02-26,37.04282585401886,C1,3,2,42.74172213925252,49.39043447202514,37.04282585401886,40.4350260238008,5.825636748718375,0,0,False
